bat_style,field_style,awards,importance,runs,batting_average,strike_rate,fours,sixes,label,bowl_style,wickets,bowling_average,economy_rate
left-hand bat,,8.0,1.263888888888888,2649.0,23.44,134.74,179.0,166.0,buy,right-arm fast-medium,,,
right-hand bat,,8.0,1.162303664921466,3397.0,25.73,141.42,234.0,132.0,buy,right-arm offbreak,,,
right-hand bat,,33.0,1.137931034482758,11538.0,32.05,135.01,1285.0,295.0,buy,right-arm medium,,,
right-hand bat,,0.0,1.0,,,,,,buy,right-arm medium,,,
left-hand bat,,32.0,1.068376068376068,,,,,,buy,right-arm offbreak,,,
right-hand bat,,9.0,1.183333333333333,,,,,,buy,right-arm offbreak,,,
right-hand bat,,3.0,1.073891625615763,,,,,,buy,right-arm offbreak,,,
right-hand bat,,17.0,1.208092485549132,,,,,,buy,right-arm offbreak,,,
right-hand bat,,8.0,1.2571428571428571,,,,,,buy,right-arm medium-fast,,,
left-hand bat,,8.0,1.076502732240437,,,,,,buy,right-arm offbreak,,,
right-hand bat,,10.0,1.198581560283688,,,,,,buy,right-arm fast-medium,,,
right-hand bat,wicketkeeper,9.0,0.9812500000000001,4003.0,26.68,143.52,419.0,166.0,buy,,,,
right-hand bat,wicketkeeper,19.0,1.066869300911854,6772.0,24.18,132.52,582.0,212.0,buy,,,,
right-hand bat,wicketkeeper,4.0,1.23076923076923,2778.0,28.93,137.86,236.0,97.0,buy,,,,
right-hand bat,wicketkeeper,10.0,1.011235955056179,4553.0,30.55,135.3,341.0,219.0,buy,right-arm medium,,,
right-hand bat,wicketkeeper,13.0,0.827586206896551,4575.0,30.09,136.64,412.0,189.0,buy,legbreak,,,
left-hand bat,wicketkeeper,9.0,0.866666666666666,4513.0,26.7,136.92,436.0,171.0,buy,,,,
right-hand bat,wicketkeeper,10.0,1.122807017543859,2823.0,25.66,133.6,268.0,82.0,buy,,,,
right-hand bat,wicketkeeper,5.0,0.9666666666666661,5322.0,27.01,130.28,480.0,221.0,buy,,,,
left-hand bat,,0.0,1.0,,,,,,buy,left-arm fast-medium,77.0,23.44,7.73
left-hand bat,,2.0,1.180327868852459,,,,,,buy,left-arm fast,,7.75,16.7
right-hand bat,,2.0,0.928571428571428,,,,,,buy,right-arm fast,65.0,24.98,9.1
left-hand bat,,11.0,0.9750889679715301,,,,,,buy,left-arm fast-medium,347.0,21.88,7.53
right-hand bat,,4.0,1.035714285714285,,,,,,buy,right-arm fast-medium,151.0,31.27,7.83
right-hand bat,,1.0,0.902654867256637,,,,,,buy,right-arm medium-fast,151.0,19.06,8.03
right-hand bat,,5.0,1.08695652173913,,,,,,buy,legbreak,6.0,25.66,7.0
right-hand bat,,7.0,1.112299465240641,,,,,,buy,left-arm medium,234.0,24.18,8.02
right-hand bat,,10.0,1.048128342245989,,,,,,buy,right-arm fast,202.0,27.42,8.34
right-hand bat,,2.0,1.188679245283018,,,,,,buy,legbreak googly,62.0,20.96,7.98
left-hand bat,,4.0,0.9615384615384611,,,,,,buy,left-arm medium-fast,138.0,18.89,6.99
right-hand bat,,0.0,1.32,,,,,,buy,legbreak,35.0,20.14,7.69
right-hand bat,,0.0,0.8392857142857141,,,,,,buy,legbreak,,7.41,16.1
right-hand bat,,17.0,0.9353741496598641,,,,,,buy,left-arm wrist-spin,,7.43,18.1
right-hand bat,,1.0,0.877551020408163,,,,,,buy,legbreak,94.0,23.98,7.23
left-hand bat,,0.0,1.280898876404494,2026.0,29.79,131.98,169.0,64.0,buy,right-arm offbreak,,,
right-hand bat,,2.0,0.9607843137254901,821.0,20.02,120.55,67.0,27.0,buy,right-arm medium,,,
right-hand bat,,0.0,0.7142857142857141,89.0,14.83,115.58,5.0,5.0,buy,legbreak,,,
right-hand bat,,10.0,1.257042253521126,1200.0,14.81,119.88,100.0,38.0,buy,right-arm offbreak,,,
left-hand bat,,1.0,0.4,225.0,32.14,153.06,19.0,11.0,buy,right-arm medium-fast,,,
,,,,,,,,,,,,,
right-hand bat,,0.0,0.647058823529411,661.0,24.48,126.62,75.0,21.0,buy,right-arm offbreak,,,
right-hand bat,,0.0,1.026666666666666,1434.0,29.87,136.31,82.0,69.0,buy,right-arm medium,,,
right-hand bat,,0.0,0.7142857142857141,,,,,,buy,slow left-arm orthodox,,,
right-hand bat,,0.0,0.9708029197080291,,,,,,buy,right-arm medium-fast,,,
right-hand bat,,0.0,1.133333333333333,,,,,,buy,right-arm fast-medium,,,
right-hand bat,,1.0,1.869565217391304,,,,,,buy,right-arm offbreak,,,
right-hand bat,,0.0,1.545454545454545,,,,,,buy,right-arm medium,,,
left-hand bat,,0.0,1.6842105263157892,,,,,,buy,slow left-arm orthodox,,,
right-hand bat,,0.0,1.0,,,,,,buy,right-arm offbreak,,,
right-hand bat,,0.0,1.222222222222222,,,,,,buy,right-arm medium-fast,,,
right-hand bat,wicketkeeper,0.0,1.461538461538461,829.0,20.21,132.0,68.0,37.0,buy,,,,
right-hand bat,,0.0,1.285714285714285,128.0,18.28,105.78,14.0,4.0,buy,,,,
right-hand bat,,9.0,1.1733333333333331,1831.0,32.69,143.15,140.0,77.0,buy,"right-arm medium, right-arm offbreak",,,
right-hand bat,wicketkeeper,2.0,1.583333333333333,1162.0,26.4,170.38,134.0,54.0,buy,,,,
left-hand bat,,0.0,1.0,16.0,29.0,0.0,0.0,,buy,,,,
right-hand bat,,0.0,0.703703703703703,784.0,37.33,137.54,64.0,46.0,buy,right-arm medium-fast,,,
right-hand bat,wicketkeeper,0.0,0.45454545454545403,45.0,5.62,58.44,3.0,0.0,buy,,,,
,,,,,,,,,,,,,
left-hand bat,,0.0,1.333333333333333,,,,,,buy,left-arm medium,2.0,51.0,8.5
right-hand bat,,0.0,1.583333333333333,,,,,,buy,right-arm medium,40.0,19.32,7.23
right-hand bat,,0.0,0.0,,,,,,buy,,,,
right-hand bat,,1.0,1.0,44.0,11.0,81.48,5.0,0.0,buy,left-arm medium-fast,,,
right-hand bat,,0.0,0.6666666666666661,,,,,,buy,left-arm medium-fast,,9.82,11.3
right-hand bat,,0.0,1.08433734939759,,,,,,buy,right-arm fast-medium,90.0,28.12,8.35
right-hand bat,,0.0,0.9553571428571421,,,,,,buy,legbreak googly,108.0,25.57,7.31
left-hand bat,,0.0,0.6774193548387091,,,,,,buy,slow left-arm orthodox,19.0,33.31,7.97
left-hand bat,,0.0,1.444444444444444,,,,,,buy,legbreak,4.0,52.0,5.94
left-hand bat,,0.0,0.0,,,,,,buy,left-arm wrist-spin,,8.25,
left-hand bat,,0.0,1.394366197183098,,,,,,buy,slow left-arm orthodox,74.0,28.58,7.44
left-hand bat,,3.0,1.224806201550387,,,,,,buy,,,,
right-hand bat,,0.0,2.0,,,,,,buy,legbreak,,8.31,23.3
left-hand bat,,4.0,1.735294117647058,1433.0,34.11,130.27,104.0,74.0,buy,,,,
right-hand bat,wicketkeeper,2.0,1.038095238095238,2760.0,29.05,132.05,258.0,106.0,buy,,,,
left-hand bat,,3.0,0.936416184971098,3501.0,26.72,133.93,302.0,128.0,buy,slow left-arm orthodox,,,
right-hand bat,,8.0,1.115646258503401,3513.0,25.83,132.66,360.0,170.0,buy,,,,
left-hand bat,,27.0,0.9274193548387091,6484.0,29.33,143.86,531.0,446.0,buy,,,,
right-hand bat,,4.0,0.9685039370078741,3328.0,27.96,124.04,355.0,77.0,buy,,,,
left-hand bat,,4.0,0.9611650485436891,3875.0,23.06,136.44,332.0,188.0,buy,right-arm medium,,,
,,,,,,,,,,,,,
right-hand bat,,0.0,1.326086956521739,,,,,,buy,right-arm fast-medium,,,
right-hand bat,,11.0,1.114427860696517,,,,,,buy,right-arm fast-medium,,,
right-hand bat,,0.0,1.2784810126582271,,,,,,buy,right-arm offbreak,,,
right-hand bat,,35.0,1.142131979695431,,,,,,buy,right-arm offbreak,,,
right-hand bat,,9.0,1.368,,,,,,buy,right-arm medium-fast,,,
right-hand bat,,26.0,0.910714285714285,,,,,,buy,"right-arm offbreak, legbreak",,,
left-hand bat,,6.0,1.004830917874396,,,,,,buy,slow left-arm orthodox,,,
right-hand bat,,0.0,1.071428571428571,,,,,,buy,right-arm offbreak,,,
right-hand bat,wicketkeeper,20.0,0.9166666666666661,7444.0,27.16,133.35,710.0,367.0,buy,,,,
right-hand bat,wicketkeeper,11.0,1.14018691588785,5231.0,24.44,126.96,552.0,159.0,buy,right-arm offbreak,,,
right-hand bat,,19.0,0.8932926829268291,7776.0,28.27,121.82,658.0,358.0,buy,"right-arm medium-fast, legbreak",,,
left-hand bat,wicketkeeper,5.0,1.247311827956989,2703.0,29.38,130.2,230.0,93.0,buy,right-arm medium,,,
right-hand bat,wicketkeeper,2.0,0.9428571428571421,1505.0,27.36,131.09,139.0,25.0,buy,,,,
right-hand bat,wicketkeeper,1.0,1.013513513513513,1595.0,27.03,132.58,123.0,54.0,buy,right-arm offbreak,,,
right-hand bat,,8.0,0.9051724137931031,,,,,,buy,left-arm fast-medium,,6.97,15.9
right-hand bat,,2.0,1.067307692307692,,,,,,buy,right-arm fast-medium,,7.98,17.4
right-hand bat,,2.0,1.125925925925926,,,,,,buy,right-arm fast-medium,,8.37,17.1
right-hand bat,,4.0,1.082706766917293,,,,,,buy,right-arm fast,172.0,24.59,8.56
left-hand bat,,2.0,1.619047619047619,,,,,,buy,left-arm fast,33.0,24.78,8.23
right-hand bat,,0.0,1.1081081081081081,,,,,,buy,right-arm fast,32.0,34.5,8.93
right-hand bat,,2.0,1.096590909090909,,,,,,buy,left-arm fast-medium,,8.41,16.5
left-hand bat,,0.0,1.023255813953488,,,,,,buy,right-arm medium-fast,111.0,20.6,7.95
left-hand bat,,0.0,0.8839285714285711,,,,,,buy,slow left-arm orthodox,93.0,23.96,7.63
,,,,,,,,,,,,,
left-hand bat,,5.0,0.8628571428571421,3584.0,29.61,133.53,296.0,117.0,buy,slow left-arm orthodox,,,
right-hand bat,,0.0,0.9666666666666661,1552.0,31.04,130.31,163.0,58.0,buy,right-arm slow-medium,,,
left-hand bat,,5.0,1.056818181818181,1478.0,21.11,117.2,148.0,36.0,buy,right-arm offbreak,,,
left-hand bat,,0.0,0.5,30.0,35.0,0.0,2.0,,buy,right-arm offbreak,,,
right-hand bat,,0.0,1.333333333333333,24.0,48.0,0.0,2.0,,buy,right-arm offbreak,,,
right-hand bat,,0.0,0.0,3.0,12.0,0.0,0.0,,buy,right-arm offbreak,,,
left-hand bat,,2.0,0.8777777777777771,2432.0,35.76,128.27,243.0,67.0,buy,legbreak googly,,,
left-hand bat,,1.0,1.25,,,,,,buy,right-arm offbreak,,,
left-hand bat,,0.0,1.545454545454545,,,,,,buy,right-arm medium-fast,,,
left-hand bat,,0.0,1.461538461538461,,,,,,buy,slow left-arm orthodox,,,
left-hand bat,,1.0,0.8200000000000001,,,,,,buy,slow left-arm orthodox,,,
right-hand bat,,2.0,1.075471698113207,,,,,,buy,right-arm medium,,,
right-hand bat,,1.0,1.8,,,,,,buy,legbreak,,,
right-hand bat,,0.0,1.285714285714285,,,,,,buy,slow left-arm orthodox,,,
left-hand bat,,0.0,2.454545454545454,,,,,,buy,legbreak googly,,,
